scorer,,,X,X,X,X,X,X,X,X
bodyparts,,,NOSE,NOSE,HEAD,HEAD,TAIL,TAIL,objectA,objectA
coords,,,x,y,x,y,x,y,x,y
labeled-data,8_D1,img00538.png,131.61938221184386,445.30216435062624,113.17311631818896,453.9415547058823,65.53972084596626,451.13959026633984,,
labeled-data,8_D1,img01521.png,319.73199536048503,467.7409992392194,329.4391136937054,462.88744007260914,375.2782836005796,431.06966331372007,,
labeled-data,8_D1,img01750.png,329.13333406817776,438.6261785206536,315.8240029803508,448.6665510956809,260.48520529938617,462.20937922013644,,
labeled-data,8_D1,img02049.png,472.4027279932891,68.89024949765935,474.6756183612821,81.76996158295286,467.2887246653049,138.21340572144499,,
labeled-data,8_D1,img02096.png,456.4924954173383,28.167630404451955,460.0912384999939,38.96385965241857,471.4556903399587,91.05093058559082,,
labeled-data,8_D1,img03048.png,463.50057405198334,122.68198820682633,456.87131047867047,132.34177227079647,453.0831598653489,182.724175427974,,
labeled-data,8_D1,img03106.png,455.3085168595319,1.7939924440644772,458.8081596927981,23.22930479781985,453.12124008874054,73.53667052602124,,
labeled-data,8_D1,img04978.png,211.30981586246298,16.298157110404695,200.56895217755,21.20159487960409,187.72661516298015,69.30198442508389,,
labeled-data,8_D1,img05275.png,442.4132655895852,171.5541520769431,445.9157211390134,156.8438387693449,452.68713520124106,102.90602330815152,,
labeled-data,8_D1,img05445.png,458.0655703008063,462.5113727998507,450.5814832988703,455.02728579791466,449.14223579849795,402.6386767843626,,
labeled-data,8_D1,img06012.png,459.79266730125306,408.68351628592626,449.4300852985724,410.1227637862986,424.6750282921687,377.59577027788436,,
labeled-data,8_D1,img06204.png,356.85774580901875,143.505493656309,366.9324783116249,129.97656715280925,388.5761263685003,90.19085709482071,,
labeled-data,8_D1,img10038.png,88.83725679015727,209.12753993127868,79.26387828838703,220.33539768944874,58.249144991818184,269.1362783448142,,
labeled-data,8_D1,img10214.png,82.10244957509872,409.4208863851815,59.74665335003408,409.77574029351587,30.293778958282275,393.8073144184697,,
labeled-data,8_D1,img11016.png,384.00747397285807,39.21813229655796,371.2550945268988,38.14263041557345,317.4800004776731,41.52277918438192,,
labeled-data,8_D1,img11762.png,463.1196813269242,449.4742849546284,461.9521961437815,438.9669183063439,468.9571072426378,399.7394161527488,,
labeled-data,8_D1,img12671.png,282.00504403491925,450.8620831607645,294.69124930550913,446.48752961918177,345.43607038786877,447.3624403274983,,
labeled-data,8_D1,img13910.png,442.9886143651637,435.55114576522493,440.8013375943723,444.7377082025487,471.4232123854514,445.6126189108652,,
labeled-data,8_D1,img16088.png,,,441.6762483026888,440.36315466096596,460.9242838856528,456.54900276482203,,
labeled-data,8_D1,img17534.png,432.4896858653651,435.9886011193832,440.363882240214,445.6126189108652,457.86209640654494,472.7348508686781,,
